_id,Scale ID,Element ID,O*NET-SOC Code
o_jobSkills/05b0d15a-084a-4721-a90a-04afc8a60580,,2.B.1.b,11-2031.00
o_jobSkills/ececa7f7-32e5-40bb-bc0b-d512abf57053,,2.B.1.c,11-2031.00
o_jobSkills/57193300-5a66-4ef1-9076-7bd0f9ceafcc,,2.B.1.d,11-2031.00
o_jobSkills/d1884400-047c-4aa0-8041-d784d4da58e2,,2.B.1.e,11-2031.00
o_jobSkills/509a797f-c0b2-4967-a016-3fd4b0a73d7a,,2.B.1.f,11-2031.00
o_jobSkills/97ed691d-939a-41ea-85e1-b52204c142ad,,2.B.2.i,11-2031.00
o_jobSkills/86192a83-c21f-451e-9078-93aa4dc48819,,2.B.3.a,11-2031.00
o_jobSkills/c45d6530-0cbe-48a5-b105-fdc6dd8cbee2,,2.B.3.b,11-2031.00
o_jobSkills/384c0e52-9c3e-4c93-9612-02e05241b717,,2.B.3.c,11-2031.00
o_jobSkills/3bba854c-2214-4ebf-ba88-cab16351d5a0,,2.B.3.d,11-2031.00
o_jobSkills/ddd8f8f4-6713-4c01-add0-bc6bb6e7da8b,,2.B.3.e,11-2031.00
o_jobSkills/4f567713-f19b-4d15-aa03-8a2e7a8562eb,,2.B.3.g,11-2031.00
o_jobSkills/1020c5ec-ab1f-443f-be69-154ceff243ac,,2.B.3.h,11-2031.00
o_jobSkills/d0fd8848-8cd2-470d-aeac-f17f55ceebfe,,2.B.3.j,11-2031.00
o_jobSkills/879dd67b-c17a-4419-92f7-9ecde0822b8d,,2.B.3.k,11-2031.00
o_jobSkills/53208ed9-5d1b-47ae-9304-7b5342f6a1e4,,2.B.3.l,11-2031.00
o_jobSkills/e50fecea-7c38-47a0-b0c4-44101deee8e6,,2.B.3.m,11-2031.00
o_jobSkills/9bb3074c-b6ad-4ba7-95be-c4fe334459c4,,2.B.4.e,11-2031.00
o_jobSkills/8e99c214-3989-462c-81bf-fa764b2237b8,,2.B.4.g,11-2031.00
o_jobSkills/4a065907-9f0d-4746-90b4-c0031268a5e3,,2.B.4.h,11-2031.00
o_jobSkills/a61dada2-c72f-4239-95cc-560cd4493dd5,,2.B.5.a,11-2031.00
o_jobSkills/b8ab1312-520c-4eaa-8b85-d56fd5b1fef4,,2.B.5.b,11-2031.00
o_jobSkills/fcc29530-ece2-4a09-8c24-f6b768d832fd,,2.B.5.c,11-2031.00
o_jobSkills/db977bee-8f19-4b23-a55f-6b3ee3d848a5,,2.B.5.d,11-2031.00
o_jobSkills/65216f68-dc91-465f-925e-fefa45940c4d,,2.A.1.a,11-3011.00
o_jobSkills/d368c8db-99fd-4a79-a777-1f30fe511f62,,2.A.1.b,11-3011.00
o_jobSkills/bdc22c89-72ea-4d39-9187-efb59f15b4e6,,2.A.1.c,11-3011.00
o_jobSkills/37eb82cb-12b3-4717-bb10-fe1d7c82410f,,2.A.1.d,11-3011.00
o_jobSkills/640e6b0d-2f02-4a0b-9144-368f500e4491,,2.A.1.e,11-3011.00
o_jobSkills/d55c2362-332a-4729-8d65-62c031b21f54,,2.A.1.f,11-3011.00
o_jobSkills/8c548960-3d33-473d-a342-dc5e40687616,,2.A.2.a,11-3011.00
o_jobSkills/b7341233-ad00-4d4a-8c81-f953c493de58,,2.A.2.b,11-3011.00
o_jobSkills/f7be6a58-e1d6-4424-9e6f-96fb7788c8d6,,2.A.2.c,11-3011.00
o_jobSkills/9ceaa0cc-f2e3-4a14-87ca-df13a3b43f59,,2.A.2.d,11-3011.00
o_jobSkills/5df4757b-a445-4f74-8681-476d8ddb429b,,2.B.1.a,11-3011.00
o_jobSkills/7daea3b7-7bcb-4dc9-91ad-d4f386b54d9e,,2.B.1.b,11-3011.00
o_jobSkills/c1c84848-f7f7-4fcb-87cb-6afbefae9685,,2.B.1.c,11-3011.00
o_jobSkills/d522ad30-ac6e-4bd4-9721-dff5ef2824fe,,2.B.1.d,11-3011.00
o_jobSkills/0777adf8-4d33-4b1d-846a-489e107e4d9f,,2.B.1.e,11-3011.00
o_jobSkills/6a54966c-3035-4b18-93dd-882afec86840,,2.B.1.f,11-3011.00
o_jobSkills/37c05772-84ea-4b92-aa90-a25c6e076d14,,2.B.2.i,11-3011.00
